/workspace/scripts/pretrain_on_tokens.py:75: FutureWarning: `torch.cuda.amp.GradScaler(args...)` is deprecated. Please use `torch.amp.GradScaler('cuda', args...)` instead.
  scaler = torch.cuda.amp.GradScaler(enabled=args.mixed_precision == "fp16")
`loss_type=None` was set in the config but it is unrecognized. Using the default loss: `ForCausalLMLoss`.
step=1/10010 tokens=16384 loss=37.466761 lr=1.998002e-07
step=50/10010 tokens=819200 loss=36.160989 lr=5.094905e-06
step=100/10010 tokens=1638400 loss=35.356342 lr=1.008991e-05
step=150/10010 tokens=2457600 loss=34.779675 lr=1.508492e-05
step=200/10010 tokens=3276800 loss=34.444701 lr=2.007992e-05
step=250/10010 tokens=4096000 loss=34.556849 lr=2.507493e-05
step=300/10010 tokens=4915200 loss=34.320331 lr=3.006993e-05
step=350/10010 tokens=5734400 loss=33.460665 lr=3.506494e-05
step=400/10010 tokens=6553600 loss=32.832736 lr=4.005994e-05
step=450/10010 tokens=7372800 loss=32.533712 lr=4.505495e-05
step=500/10010 tokens=8192000 loss=31.651607 lr=5.004995e-05
step=550/10010 tokens=9011200 loss=30.363682 lr=5.504496e-05
step=600/10010 tokens=9830400 loss=30.871792 lr=6.003996e-05
step=650/10010 tokens=10649600 loss=28.793605 lr=6.503497e-05
step=700/10010 tokens=11468800 loss=28.400903 lr=7.002997e-05
step=750/10010 tokens=12288000 loss=28.385983 lr=7.502498e-05
step=800/10010 tokens=13107200 loss=28.702159 lr=8.001998e-05
step=850/10010 tokens=13926400 loss=27.143342 lr=8.501499e-05
step=900/10010 tokens=14745600 loss=28.840808 lr=9.000999e-05
step=950/10010 tokens=15564800 loss=27.531885 lr=9.500500e-05
step=1000/10010 tokens=16384000 loss=27.495138 lr=1.000000e-04
step=1050/10010 tokens=17203200 loss=26.966991 lr=9.999270e-05
step=1100/10010 tokens=18022400 loss=27.043303 lr=9.997021e-05
step=1150/10010 tokens=18841600 loss=26.107498 lr=9.993252e-05
step=1200/10010 tokens=19660800 loss=25.141143 lr=9.987966e-05
step=1250/10010 tokens=20480000 loss=26.040584 lr=9.981163e-05
step=1300/10010 tokens=21299200 loss=25.429025 lr=9.972846e-05
step=1350/10010 tokens=22118400 loss=26.523230 lr=9.963017e-05
step=1400/10010 tokens=22937600 loss=25.711911 lr=9.951679e-05
