batch=1 sequences=4096 tokens=4202496 gzip_mean=83.11
batch=2 sequences=8192 tokens=8404992 gzip_mean=83.25
batch=3 sequences=12288 tokens=12607488 gzip_mean=83.25
batch=4 sequences=16384 tokens=16809984 gzip_mean=83.25
batch=5 sequences=20480 tokens=21012480 gzip_mean=83.39
batch=6 sequences=24576 tokens=25214976 gzip_mean=83.46
batch=7 sequences=28672 tokens=29417472 gzip_mean=83.45
batch=8 sequences=32768 tokens=33619968 gzip_mean=83.45
batch=9 sequences=36864 tokens=37822464 gzip_mean=83.44
batch=10 sequences=40960 tokens=42024960 gzip_mean=83.40
batch=11 sequences=45056 tokens=46227456 gzip_mean=83.42
batch=12 sequences=49152 tokens=50429952 gzip_mean=83.43
batch=13 sequences=53248 tokens=54632448 gzip_mean=83.41
batch=14 sequences=57344 tokens=58834944 gzip_mean=83.42
batch=15 sequences=61440 tokens=63037440 gzip_mean=83.47
batch=16 sequences=65536 tokens=67239936 gzip_mean=83.45
batch=17 sequences=69632 tokens=71442432 gzip_mean=83.45
batch=18 sequences=73728 tokens=75644928 gzip_mean=83.45
batch=19 sequences=77824 tokens=79847424 gzip_mean=83.44
batch=20 sequences=81920 tokens=84049920 gzip_mean=83.46
batch=21 sequences=86016 tokens=88252416 gzip_mean=83.45
batch=22 sequences=90112 tokens=92454912 gzip_mean=83.44
batch=23 sequences=94208 tokens=96657408 gzip_mean=83.43
batch=24 sequences=98304 tokens=100859904 gzip_mean=83.44
batch=25 sequences=102400 tokens=105062400 gzip_mean=83.43
batch=26 sequences=106496 tokens=109264896 gzip_mean=83.43
batch=27 sequences=110592 tokens=113467392 gzip_mean=83.41
batch=28 sequences=114688 tokens=117669888 gzip_mean=83.41
batch=29 sequences=118784 tokens=121872384 gzip_mean=83.40
batch=30 sequences=122880 tokens=126074880 gzip_mean=83.41
batch=31 sequences=126976 tokens=130277376 gzip_mean=83.41
batch=32 sequences=131072 tokens=134479872 gzip_mean=83.41
batch=33 sequences=135168 tokens=138682368 gzip_mean=83.40
batch=34 sequences=139264 tokens=142884864 gzip_mean=83.40
batch=35 sequences=143360 tokens=147087360 gzip_mean=83.41
batch=36 sequences=147456 tokens=151289856 gzip_mean=83.41
batch=37 sequences=151552 tokens=155492352 gzip_mean=83.41
batch=38 sequences=155648 tokens=159694848 gzip_mean=83.40
batch=39 sequences=159744 tokens=163897344 gzip_mean=83.41
batch=40 sequences=159845 tokens=164000970 gzip_mean=83.40
Wrote 164000970 official NCA tokens across 159845 sequences
Gzip complexity mean/std: 83.40 / 6.76
