loaded_shard=physics_shard_00000.npz selected_scenes_so_far=1087
loaded_shard=physics_shard_00001.npz selected_scenes_so_far=2177
loaded_shard=physics_shard_00002.npz selected_scenes_so_far=3244
loaded_shard=physics_shard_00003.npz selected_scenes_so_far=4269
loaded_shard=physics_shard_00004.npz selected_scenes_so_far=5364
loaded_shard=physics_shard_00005.npz selected_scenes_so_far=6398
loaded_shard=physics_shard_00006.npz selected_scenes_so_far=7510
loaded_shard=physics_shard_00007.npz selected_scenes_so_far=8543
loaded_shard=physics_shard_00008.npz selected_scenes_so_far=9583
loaded_shard=physics_shard_00009.npz selected_scenes_so_far=10687
loaded_shard=physics_shard_00010.npz selected_scenes_so_far=11743
loaded_shard=physics_shard_00011.npz selected_scenes_so_far=12831
loaded_shard=physics_shard_00012.npz selected_scenes_so_far=13884
loaded_shard=physics_shard_00013.npz selected_scenes_so_far=14966
loaded_shard=physics_shard_00014.npz selected_scenes_so_far=16014
loaded_shard=physics_shard_00015.npz selected_scenes_so_far=17137
loaded_shard=physics_shard_00016.npz selected_scenes_so_far=18119
loaded_shard=physics_shard_00017.npz selected_scenes_so_far=19178
loaded_shard=physics_shard_00018.npz selected_scenes_so_far=20212
loaded_shard=physics_shard_00019.npz selected_scenes_so_far=21297
loaded_shard=physics_shard_00020.npz selected_scenes_so_far=22392
loaded_shard=physics_shard_00021.npz selected_scenes_so_far=23460
loaded_shard=physics_shard_00022.npz selected_scenes_so_far=24519
loaded_shard=physics_shard_00023.npz selected_scenes_so_far=25598
loaded_shard=physics_shard_00024.npz selected_scenes_so_far=26640
loaded_shard=physics_shard_00025.npz selected_scenes_so_far=27698
loaded_shard=physics_shard_00026.npz selected_scenes_so_far=28771
loaded_shard=physics_shard_00027.npz selected_scenes_so_far=29836
loaded_shard=physics_shard_00028.npz selected_scenes_so_far=30935
loaded_shard=physics_shard_00029.npz selected_scenes_so_far=32018
loaded_shard=physics_shard_00030.npz selected_scenes_so_far=33054
loaded_shard=physics_shard_00031.npz selected_scenes_so_far=34132
loaded_shard=physics_shard_00032.npz selected_scenes_so_far=35178
loaded_shard=physics_shard_00033.npz selected_scenes_so_far=36237
loaded_shard=physics_shard_00034.npz selected_scenes_so_far=37314
loaded_shard=physics_shard_00035.npz selected_scenes_so_far=38425
loaded_shard=physics_shard_00036.npz selected_scenes_so_far=39457
loaded_shard=physics_shard_00037.npz selected_scenes_so_far=40495
loaded_shard=physics_shard_00038.npz selected_scenes_so_far=41532
loaded_shard=physics_shard_00039.npz selected_scenes_so_far=42567
loaded_shard=physics_shard_00040.npz selected_scenes_so_far=43653
loaded_shard=physics_shard_00041.npz selected_scenes_so_far=44693
loaded_shard=physics_shard_00042.npz selected_scenes_so_far=45744
loaded_shard=physics_shard_00043.npz selected_scenes_so_far=46816
loaded_shard=physics_shard_00044.npz selected_scenes_so_far=47865
loaded_shard=physics_shard_00045.npz selected_scenes_so_far=48943
loaded_shard=physics_shard_00046.npz selected_scenes_so_far=50000
collected_features=(3199474, 28) collected_interactions=(123726, 13)
kinematic_vqvae warmup_epoch=1/5 recon=0.570083
kinematic_vqvae warmup_epoch=2/5 recon=0.109882
kinematic_vqvae warmup_epoch=3/5 recon=0.026583
kinematic_vqvae warmup_epoch=4/5 recon=0.012741
kinematic_vqvae warmup_epoch=5/5 recon=0.009782
kinematic_vqvae initialized_codebook sample_size=65536 kmeans_iters=20
kinematic_vqvae epoch=1/100 train_loss=0.493848 val_recon=0.271801 util=99.95%
kinematic_vqvae epoch=2/100 train_loss=0.551004 val_recon=0.286662 util=100.00%
kinematic_vqvae epoch=3/100 train_loss=0.571541 val_recon=0.288318 util=100.00%
kinematic_vqvae epoch=4/100 train_loss=0.586369 val_recon=0.290317 util=100.00%
kinematic_vqvae epoch=5/100 train_loss=0.614297 val_recon=0.286240 util=99.95%
kinematic_vqvae epoch=6/100 train_loss=0.634041 val_recon=0.325746 util=99.98%
kinematic_vqvae epoch=7/100 train_loss=0.661688 val_recon=0.313821 util=99.95%
kinematic_vqvae epoch=8/100 train_loss=0.688109 val_recon=0.319529 util=99.98%
kinematic_vqvae epoch=9/100 train_loss=0.712249 val_recon=0.337977 util=99.98%
kinematic_vqvae epoch=10/100 train_loss=0.722826 val_recon=0.363178 util=100.00%
kinematic_vqvae epoch=11/100 train_loss=0.742158 val_recon=0.358010 util=100.00%
kinematic_vqvae epoch=12/100 train_loss=0.744027 val_recon=0.370606 util=100.00%
kinematic_vqvae epoch=13/100 train_loss=0.749577 val_recon=0.363197 util=99.95%
kinematic_vqvae epoch=14/100 train_loss=0.750264 val_recon=0.380733 util=99.98%
kinematic_vqvae epoch=15/100 train_loss=0.750614 val_recon=0.369912 util=100.00%
kinematic_vqvae epoch=16/100 train_loss=0.741910 val_recon=0.340596 util=99.93%
kinematic_vqvae epoch=17/100 train_loss=0.747949 val_recon=0.377207 util=99.98%
kinematic_vqvae epoch=18/100 train_loss=0.737530 val_recon=0.387043 util=100.00%
kinematic_vqvae epoch=19/100 train_loss=0.734004 val_recon=0.372194 util=100.00%
kinematic_vqvae epoch=20/100 train_loss=0.734348 val_recon=0.356436 util=99.98%
kinematic_vqvae epoch=21/100 train_loss=0.739211 val_recon=0.366318 util=99.98%
kinematic_vqvae epoch=22/100 train_loss=0.736021 val_recon=0.373379 util=99.98%
kinematic_vqvae epoch=23/100 train_loss=0.733321 val_recon=0.390808 util=99.95%
kinematic_vqvae epoch=24/100 train_loss=0.726570 val_recon=0.350164 util=99.98%
kinematic_vqvae epoch=25/100 train_loss=0.723601 val_recon=0.354957 util=100.00%
kinematic_vqvae epoch=26/100 train_loss=0.726474 val_recon=0.353328 util=100.00%
kinematic_vqvae epoch=27/100 train_loss=0.728432 val_recon=0.355844 util=100.00%
kinematic_vqvae epoch=28/100 train_loss=0.727052 val_recon=0.346432 util=99.98%
kinematic_vqvae epoch=29/100 train_loss=0.717345 val_recon=0.372205 util=100.00%
kinematic_vqvae epoch=30/100 train_loss=0.723423 val_recon=0.355929 util=99.95%
kinematic_vqvae epoch=31/100 train_loss=0.714073 val_recon=0.354857 util=100.00%
kinematic_vqvae epoch=32/100 train_loss=0.711307 val_recon=0.338493 util=100.00%
kinematic_vqvae epoch=33/100 train_loss=0.701124 val_recon=0.347379 util=100.00%
kinematic_vqvae epoch=34/100 train_loss=0.705024 val_recon=0.351448 util=99.98%
kinematic_vqvae epoch=35/100 train_loss=0.703607 val_recon=0.339681 util=100.00%
kinematic_vqvae epoch=36/100 train_loss=0.705407 val_recon=0.336609 util=99.95%
kinematic_vqvae epoch=37/100 train_loss=0.698722 val_recon=0.329349 util=99.95%
kinematic_vqvae epoch=38/100 train_loss=0.699987 val_recon=0.351374 util=100.00%
kinematic_vqvae epoch=39/100 train_loss=0.696035 val_recon=0.342229 util=99.95%
kinematic_vqvae epoch=40/100 train_loss=0.694121 val_recon=0.338274 util=99.98%
kinematic_vqvae epoch=41/100 train_loss=0.702317 val_recon=0.340674 util=99.98%
kinematic_vqvae epoch=42/100 train_loss=0.697898 val_recon=0.361774 util=100.00%
kinematic_vqvae epoch=43/100 train_loss=0.700786 val_recon=0.351463 util=99.95%
kinematic_vqvae epoch=44/100 train_loss=0.709372 val_recon=0.342489 util=99.95%
kinematic_vqvae epoch=45/100 train_loss=0.703430 val_recon=0.330085 util=99.98%
kinematic_vqvae epoch=46/100 train_loss=0.699961 val_recon=0.324823 util=99.98%
kinematic_vqvae epoch=47/100 train_loss=0.693421 val_recon=0.348824 util=99.95%
kinematic_vqvae epoch=48/100 train_loss=0.689940 val_recon=0.338637 util=99.98%
kinematic_vqvae epoch=49/100 train_loss=0.689470 val_recon=0.339736 util=100.00%
kinematic_vqvae epoch=50/100 train_loss=0.691866 val_recon=0.331152 util=100.00%
