step,tokens_seen,train_loss,val_loss,val_perplexity,learning_rate,wall_time_sec
1,524288,702.5706367492676,,,2.6246719160104988e-06,9.719236612319946
2,1048576,702.2237930297852,,,3.937007874015748e-06,17.291465759277344
3,1572864,701.645977973938,,,5.2493438320209976e-06,24.857358932495117
4,2097152,700.5999784469604,,,6.561679790026247e-06,32.41970658302307
5,2621440,699.3653917312622,,,7.874015748031496e-06,39.984591245651245
6,3145728,697.8349695205688,,,9.186351706036746e-06,47.550496101379395
7,3670016,696.2631483078003,,,1.0498687664041995e-05,55.11449122428894
8,4194304,694.5264911651611,,,1.1811023622047245e-05,62.67568111419678
9,4718592,692.516996383667,,,1.3123359580052494e-05,70.24400973320007
10,5242880,690.3834886550903,10.748618898391724,46565.67209779608,1.4435695538057743e-05,82.5171287059784
11,5767168,688.4018468856812,,,1.5748031496062993e-05,91.92817044258118
12,6291456,686.1600217819214,,,1.706036745406824e-05,99.49266290664673
13,6815744,683.3960418701172,,,1.837270341207349e-05,107.05771684646606
14,7340032,680.5816144943237,,,1.968503937007874e-05,114.61974835395813
15,7864320,677.9015207290649,,,2.099737532808399e-05,122.18459796905518
16,8388608,675.2540502548218,,,2.2309711286089238e-05,129.74650382995605
17,8912896,672.1787443161011,,,2.362204724409449e-05,137.3087122440338
18,9437184,668.6969165802002,,,2.4934383202099737e-05,144.87115859985352
19,9961472,664.8681793212891,,,2.6246719160104988e-05,152.43470335006714
20,10485760,661.201810836792,10.253271026611328,28375.20633885907,2.7559055118110236e-05,164.6716799736023
21,11010048,657.1773195266724,,,2.8871391076115487e-05,174.0716197490692
22,11534336,652.7959251403809,,,3.0183727034120734e-05,181.63400793075562
23,12058624,648.7838916778564,,,3.1496062992125985e-05,189.19796180725098
24,12582912,644.4811916351318,,,3.280839895013123e-05,196.76019501686096
25,13107200,639.927845954895,,,3.412073490813648e-05,204.32455921173096
26,13631488,634.2767324447632,,,3.5433070866141735e-05,211.88646864891052
27,14155776,629.1714096069336,,,3.674540682414698e-05,219.44947624206543
28,14680064,623.0584440231323,,,3.805774278215223e-05,227.01100969314575
29,15204352,618.4762964248657,,,3.937007874015748e-05,234.5789029598236
30,15728640,613.2369613647461,,,4.068241469816273e-05,242.13998103141785
31,16252928,608.1351385116577,,,4.199475065616798e-05,249.70483016967773
32,16777216,602.6664695739746,,,4.330708661417323e-05,257.2687945365906
33,17301504,599.3381729125977,,,4.4619422572178476e-05,264.83251428604126
34,17825792,595.1241216659546,,,4.593175853018373e-05,272.3947055339813
35,18350080,591.146767616272,,,4.724409448818898e-05,279.95632147789
36,18874368,588.045597076416,,,4.8556430446194226e-05,287.5206561088562
37,19398656,584.642786026001,,,4.9868766404199474e-05,295.0823121070862
38,19922944,579.7158317565918,,,5.118110236220473e-05,302.6434135437012
39,20447232,576.8333692550659,,,5.2493438320209976e-05,310.2035071849823
40,20971520,572.9350090026855,,,5.3805774278215223e-05,317.76508712768555
41,21495808,570.0139045715332,,,5.511811023622047e-05,325.3283746242523
42,22020096,567.5521440505981,,,5.643044619422572e-05,332.89090871810913
43,22544384,564.5429344177246,,,5.774278215223097e-05,340.45504212379456
44,23068672,560.8170824050903,,,5.905511811023622e-05,348.01760363578796
45,23592960,557.1405258178711,,,6.036745406824147e-05,355.58023166656494
46,24117248,553.9157762527466,,,6.167979002624672e-05,363.1444742679596
47,24641536,551.3256874084473,,,6.299212598425197e-05,370.7045121192932
48,25165824,548.581503868103,,,6.430446194225722e-05,378.26516795158386
49,25690112,543.5325708389282,,,6.561679790026247e-05,385.8249089717865
50,26214400,540.1329956054688,8.367777791023254,4306.056465374279,6.692913385826773e-05,398.05851197242737
51,26738688,538.9491815567017,,,6.824146981627296e-05,407.41832518577576
52,27262976,534.2448244094849,,,6.955380577427822e-05,414.9852170944214
53,27787264,531.4139623641968,,,7.086614173228347e-05,422.5530173778534
54,28311552,527.7402095794678,,,7.217847769028872e-05,430.1178286075592
55,28835840,524.3335294723511,,,7.349081364829397e-05,437.6823499202728
56,29360128,521.6546821594238,,,7.480314960629921e-05,445.2458806037903
57,29884416,518.583254814148,,,7.611548556430446e-05,452.80862498283386
58,30408704,515.8632469177246,,,7.742782152230972e-05,460.3696448802948
59,30932992,514.7049369812012,,,7.874015748031496e-05,467.93158292770386
60,31457280,508.8164734840393,,,8.005249343832022e-05,475.49304723739624
61,31981568,508.4973564147949,,,8.136482939632547e-05,483.0573992729187
62,32505856,505.3175573348999,,,8.267716535433071e-05,490.61663579940796
63,33030144,503.7457971572876,,,8.398950131233596e-05,498.1786344051361
64,33554432,500.26383686065674,,,8.530183727034121e-05,505.7398283481598
65,34078720,500.2949457168579,,,8.661417322834646e-05,513.3006014823914
66,34603008,497.89227962493896,,,8.792650918635172e-05,520.8629815578461
67,35127296,494.9070792198181,,,8.923884514435695e-05,528.4185299873352
68,35651584,495.7909560203552,,,9.055118110236221e-05,535.9796543121338
69,36175872,492.10000705718994,,,9.186351706036746e-05,543.5384001731873
70,36700160,490.55834197998047,,,9.317585301837271e-05,551.0981352329254
71,37224448,489.7279462814331,,,9.448818897637796e-05,558.658353805542
72,37748736,490.1476411819458,,,9.58005249343832e-05,566.2206451892853
73,38273024,489.00789499282837,,,9.711286089238845e-05,573.7826638221741
74,38797312,487.9867949485779,,,9.842519685039371e-05,581.3451373577118
75,39321600,487.32399225234985,,,9.973753280839895e-05,588.9070653915405
76,39845888,489.9121561050415,,,0.00010104986876640421,596.4667026996613
77,40370176,487.22585105895996,,,0.00010236220472440946,604.0276443958282
78,40894464,488.39848947525024,,,0.0001036745406824147,611.5896294116974
79,41418752,485.98572397232056,,,0.00010498687664041995,619.1486892700195
80,41943040,484.75671339035034,,,0.0001062992125984252,626.7089974880219
