step,tokens_seen,train_loss,val_loss,val_perplexity,learning_rate,wall_time_sec
1,524288,705.8674249649048,,,2.6246719160104988e-06,9.763396739959717
2,1048576,704.1815366744995,,,3.937007874015748e-06,17.32944941520691
3,1572864,700.9026021957397,,,5.2493438320209976e-06,24.884212732315063
4,2097152,696.2271671295166,,,6.561679790026247e-06,32.44765496253967
5,2621440,690.6221990585327,,,7.874015748031496e-06,40.0079402923584
6,3145728,684.3320560455322,,,9.186351706036746e-06,47.56952667236328
7,3670016,678.067289352417,,,1.0498687664041995e-05,55.12744450569153
8,4194304,671.2140426635742,,,1.1811023622047245e-05,62.682069540023804
9,4718592,664.9759635925293,,,1.3123359580052494e-05,70.24064993858337
10,5242880,659.0808572769165,10.116453485488892,24746.84995840522,1.4435695538057743e-05,82.50250005722046
11,5767168,652.8291816711426,,,1.5748031496062993e-05,91.88800072669983
12,6291456,646.7178831100464,,,1.706036745406824e-05,99.44423913955688
13,6815744,640.4326372146606,,,1.837270341207349e-05,107.0002236366272
14,7340032,634.5552444458008,,,1.968503937007874e-05,114.55710124969482
15,7864320,629.8277578353882,,,2.099737532808399e-05,122.11322832107544
16,8388608,625.3377799987793,,,2.2309711286089238e-05,129.6690592765808
17,8912896,621.1652975082397,,,2.362204724409449e-05,137.22656416893005
18,9437184,616.7392234802246,,,2.4934383202099737e-05,144.78233075141907
19,9961472,612.758243560791,,,2.6246719160104988e-05,152.33796858787537
20,10485760,609.4745540618896,9.396021394729614,12040.381383476586,2.7559055118110236e-05,164.56395983695984
21,11010048,604.6070365905762,,,2.8871391076115487e-05,173.9034354686737
22,11534336,601.1818990707397,,,3.0183727034120734e-05,181.4613001346588
23,12058624,599.0092544555664,,,3.1496062992125985e-05,189.0158178806305
24,12582912,596.9181785583496,,,3.280839895013123e-05,196.5770194530487
25,13107200,594.0417985916138,,,3.412073490813648e-05,204.13336372375488
26,13631488,590.2771034240723,,,3.5433070866141735e-05,211.6888725757599
27,14155776,588.1607933044434,,,3.674540682414698e-05,219.24441266059875
28,14680064,584.4989624023438,,,3.805774278215223e-05,226.80079007148743
29,15204352,583.1029968261719,,,3.937007874015748e-05,234.35759592056274
30,15728640,580.1962423324585,,,4.068241469816273e-05,241.91286945343018
31,16252928,577.1114797592163,,,4.199475065616798e-05,249.47243356704712
32,16777216,573.5934391021729,,,4.330708661417323e-05,257.0309433937073
33,17301504,571.5342988967896,,,4.4619422572178476e-05,264.5856273174286
34,17825792,567.7035617828369,,,4.593175853018373e-05,272.1389193534851
35,18350080,564.331488609314,,,4.724409448818898e-05,279.6984555721283
36,18874368,562.3055591583252,,,4.8556430446194226e-05,287.26022458076477
37,19398656,559.9319458007812,,,4.9868766404199474e-05,294.81396412849426
38,19922944,555.162878036499,,,5.118110236220473e-05,302.3708965778351
39,20447232,552.3013973236084,,,5.2493438320209976e-05,309.92895770072937
40,20971520,548.5487461090088,,,5.3805774278215223e-05,317.4857633113861
41,21495808,545.6004886627197,,,5.511811023622047e-05,325.0423891544342
42,22020096,543.5062923431396,,,5.643044619422572e-05,332.5994665622711
43,22544384,540.4808950424194,,,5.774278215223097e-05,340.1540684700012
44,23068672,537.1107053756714,,,5.905511811023622e-05,347.71215653419495
45,23592960,533.1745862960815,,,6.036745406824147e-05,355.27505326271057
46,24117248,530.3455324172974,,,6.167979002624672e-05,362.83024621009827
47,24641536,527.8949279785156,,,6.299212598425197e-05,370.38920283317566
48,25165824,525.375207901001,,,6.430446194225722e-05,377.9475131034851
49,25690112,520.2320523262024,,,6.561679790026247e-05,385.50261902809143
50,26214400,516.9616098403931,8.009440207481385,3009.232095682434,6.692913385826773e-05,397.7293243408203
51,26738688,516.3146696090698,,,6.824146981627296e-05,407.02641105651855
52,27262976,511.9369215965271,,,6.955380577427822e-05,414.5809414386749
53,27787264,509.6082830429077,,,7.086614173228347e-05,422.13759303092957
54,28311552,506.3715739250183,,,7.217847769028872e-05,429.6933054924011
55,28835840,503.37532091140747,,,7.349081364829397e-05,437.248202085495
56,29360128,501.28438997268677,,,7.480314960629921e-05,444.80340600013733
57,29884416,498.866886138916,,,7.611548556430446e-05,452.36019706726074
58,30408704,496.6476979255676,,,7.742782152230972e-05,459.91672110557556
59,30932992,496.57425451278687,,,7.874015748031496e-05,467.47188210487366
60,31457280,490.6600875854492,,,8.005249343832022e-05,475.0286958217621
61,31981568,491.4022035598755,,,8.136482939632547e-05,482.58821153640747
62,32505856,489.2254843711853,,,8.267716535433071e-05,490.1325526237488
63,33030144,488.73057079315186,,,8.398950131233596e-05,497.70286297798157
64,33554432,485.7729778289795,,,8.530183727034121e-05,505.2590718269348
